chapter,word_count,target_words,cli_error_total,cli_warn_total,cli_sense_density_low,cli_texture_variety_warn,cli_paibei_stack_err,cli_word_count_short,cli_liang_fp,src_error_total,src_warn_total,src_cliche_reaction,src_simile_density,src_fake_reactions,src_other_ai_flavor,u2_numeric_tunable,u2_wordlist_only
1,2756,3000,0,4,0,1,0,0,0,5,4,0,5,0,0,5,0
2,3257,3000,0,5,0,1,0,0,1,2,10,0,2,0,0,2,1
3,2648,3000,0,6,0,0,0,1,1,2,11,1,1,0,0,2,1
4,2606,3000,0,4,0,0,0,1,0,1,6,1,0,0,0,1,0
5,3145,3000,0,4,0,0,0,0,2,2,10,1,1,0,0,2,2
6,3082,3000,0,4,0,0,0,0,1,3,7,0,3,0,0,3,1
7,3544,3000,0,2,0,0,0,0,0,1,6,0,1,0,0,1,0
8,3357,3000,0,3,0,0,0,0,0,3,7,1,2,0,0,3,0
9,2990,3000,0,4,0,0,0,0,0,1,9,1,0,0,0,1,0
10,3035,3000,0,3,0,1,0,0,0,1,9,1,0,0,0,1,0
11,2843,3000,0,3,0,0,0,0,0,1,10,1,0,0,0,1,0
12,3013,3000,0,2,0,0,0,0,0,1,5,1,0,0,0,1,0
13,2833,3000,0,5,0,0,0,0,0,1,11,0,1,0,0,1,0
14,3519,3000,0,0,0,0,0,0,4,1,5,0,1,0,0,1,4
15,2688,3000,0,3,0,0,0,1,0,0,6,0,0,0,0,0,0
16,2730,3000,0,3,0,1,0,0,6,2,1,1,1,0,0,2,6
17,2729,3000,0,2,0,0,0,0,4,2,5,1,1,0,0,2,4
18,2676,3000,0,3,0,0,0,1,2,2,6,0,2,0,0,2,2
19,2545,3000,0,2,0,0,0,1,1,2,5,0,1,0,0,1,1
20,2129,3000,0,4,0,0,0,1,3,1,5,0,1,0,0,1,3
21,2140,3000,0,4,0,1,0,1,2,1,5,0,0,0,0,0,2
22,2855,3000,0,5,0,1,0,0,4,1,6,0,1,0,0,1,4
23,2252,3000,0,3,0,0,0,1,4,1,1,0,0,0,0,0,4
24,2162,3000,0,2,0,0,0,1,5,1,3,0,1,0,0,1,5
25,2151,3000,0,4,0,0,0,1,3,4,5,1,3,0,0,4,3
26,2713,3000,0,2,0,0,0,0,0,2,4,0,2,0,0,2,0
27,3001,3000,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3
28,2925,3000,0,3,0,0,0,0,2,0,4,0,0,0,0,0,2
29,2384,3000,0,4,0,1,0,1,2,0,4,0,0,0,0,0,2
30,2169,3000,0,5,0,1,0,1,11,0,3,0,0,0,0,0,11
31,2225,3000,0,3,0,1,0,1,2,0,2,0,0,0,0,0,2
